pid,group,name,slice,otsu_foreground,huang_foreground,otsu_foreground_ratio,huang_foreground_ratio,otsu_foreground_normalized,huang_foreground_normalized
9,8,6,25,6822,11103,0.104095458984375,0.1694183349609375,0.5059704813468813,0.49972994869025117
9,8,6,26,4768,8929,0.07275390625,0.1362457275390625,0.3536304976637247,0.401881357457917
9,8,6,27,4539,6620,0.0692596435546875,0.10101318359375,0.33664614699992584,0.29795661175623367
9,8,6,28,3709,4660,0.0565948486328125,0.07110595703125,0.2750871467774234,0.2097398505716086
9,8,6,29,2699,3257,0.0411834716796875,0.0496978759765625,0.20017800192835422,0.14659285264200198
9,8,6,30,1987,2259,0.0303192138671875,0.0344696044921875,0.1473707631832678,0.10167431812044288
10,8,7,1,1375,1577,0.0209808349609375,0.0240631103515625,0.09691288412743163,0.0756681541192841
10,8,7,2,2092,2553,0.03192138671875,0.0389556884765625,0.1474485480687905,0.12249892039729379
10,8,7,3,3375,4293,0.0514984130859375,0.0655059814453125,0.23787707922187765,0.2059881963437455
10,8,7,4,3942,5116,0.060150146484375,0.07806396484375,0.2778404285311531,0.2454776642195672
10,8,7,5,4456,6586,0.0679931640625,0.100494384765625,0.3140682266704257,0.3160117076915695
10,8,7,6,5813,8764,0.0886993408203125,0.13372802734375,0.40971243304200733,0.420517249652128
10,8,7,7,6503,11272,0.0992279052734375,0.1719970703125,0.4583450803495912,0.5408569646370136
10,8,7,8,6951,12641,0.1060638427734375,0.1928863525390625,0.4899210600507471,0.6065447915167218
10,8,7,9,8076,13801,0.12322998046875,0.2105865478515625,0.569213419791373,0.6622043088143563
10,8,7,10,8827,16002,0.1346893310546875,0.244171142578125,0.6221454750493375,0.7678134446523679
10,8,7,11,10026,18179,0.152984619140625,0.2773895263671875,0.7066535100084579,0.8722710042704285
10,8,7,12,10462,18852,0.159637451171875,0.28765869140625,0.7373837045390471,0.9045631207715561
10,8,7,13,12006,19709,0.183197021484375,0.3007354736328125,0.8462080631519594,0.9456839882923084
10,8,7,14,13030,20472,0.198822021484375,0.3123779296875,0.9183817310403157,0.9822945156182524
10,8,7,15,14188,19750,0.21649169921875,0.301361083984375,1.0,0.9476512643347248
10,8,7,16,13509,20303,0.2061309814453125,0.3097991943359375,0.9521426557654356,0.9741854997360971
10,8,7,17,13470,20841,0.205535888671875,0.3180084228515625,0.9493938539610939,1.0
10,8,7,18,11041,19110,0.1684722900390625,0.291595458984375,0.7781928390188892,0.9169425651360299
